,property_id,check_in_date,room_category,successful_bookings,capacity,check_in_date_format
45,18560,01-May-22,RT2,34,40,2022-05-01
46,17560,01-May-22,RT2,31,45,2022-05-01
47,19561,01-May-22,RT2,35,45,2022-05-01
48,19563,01-May-22,RT2,36,45,2022-05-01
49,19563,01-May-22,RT3,20,29,2022-05-01
50,18560,01-May-22,RT1,27,30,2022-05-01
51,19562,01-May-22,RT3,25,29,2022-05-01
52,19561,01-May-22,RT3,23,29,2022-05-01
53,18562,01-May-22,RT3,28,29,2022-05-01
54,17558,01-May-22,RT3,21,27,2022-05-01
55,17562,01-May-22,RT3,15,27,2022-05-01
56,19559,01-May-22,RT3,19,27,2022-05-01
57,16559,01-May-22,RT3,27,32,2022-05-01
58,17560,01-May-22,RT3,19,25,2022-05-01
59,18561,01-May-22,RT3,23,25,2022-05-01
60,16561,01-May-22,RT3,21,21,2022-05-01
61,16563,01-May-22,RT3,17,20,2022-05-01
62,17561,01-May-22,RT3,16,19,2022-05-01
63,18558,01-May-22,RT3,18,26,2022-05-01
64,18560,01-May-22,RT3,21,24,2022-05-01
65,18563,01-May-22,RT3,16,23,2022-05-01
66,19560,01-May-22,RT3,16,19,2022-05-01
67,17564,01-May-22,RT3,16,24,2022-05-01
68,16560,01-May-22,RT3,15,20,2022-05-01
69,16558,01-May-22,RT3,8,8,2022-05-01
70,19558,01-May-22,RT3,13,21,2022-05-01
71,16562,01-May-22,RT3,14,18,2022-05-01
72,17559,01-May-22,RT3,14,16,2022-05-01
73,17563,01-May-22,RT3,14,16,2022-05-01
74,18559,01-May-22,RT3,14,23,2022-05-01
75,19559,01-May-22,RT4,2,3,2022-05-01
76,16562,01-May-22,RT4,4,6,2022-05-01
77,17558,01-May-22,RT4,4,6,2022-05-01
78,17562,01-May-22,RT4,4,6,2022-05-01
79,19563,01-May-22,RT4,4,6,2022-05-01
80,19558,01-May-22,RT4,4,7,2022-05-01
81,19561,01-May-22,RT4,5,7,2022-05-01
82,16560,01-May-22,RT4,6,7,2022-05-01
83,16561,01-May-22,RT4,9,10,2022-05-01
84,17560,01-May-22,RT4,10,13,2022-05-01
85,18561,01-May-22,RT4,8,9,2022-05-01
86,17564,01-May-22,RT4,9,17,2022-05-01
87,18560,01-May-22,RT4,14,15,2022-05-01
88,19560,01-May-22,RT4,15,16,2022-05-01
89,18559,01-May-22,RT4,11,19,2022-05-01
90,17563,01-May-22,RT4,17,19,2022-05-01
91,19562,01-May-22,RT4,13,14,2022-05-01
92,17559,01-May-22,RT4,13,14,2022-05-01
93,18558,01-May-22,RT4,14,20,2022-05-01
94,18562,01-May-22,RT4,19,20,2022-05-01
95,18563,01-May-22,RT4,13,18,2022-05-01
96,16563,01-May-22,RT4,17,18,2022-05-01
97,16559,01-May-22,RT4,17,18,2022-05-01
98,17561,01-May-22,RT4,3,4,2022-05-01
99,16558,01-May-22,RT4,3,3,2022-05-01
100,16559,02-May-22,RT1,20,30,2022-05-02
101,18560,02-May-22,RT1,21,30,2022-05-02
102,19562,02-May-22,RT1,20,30,2022-05-02
103,19563,02-May-22,RT1,14,30,2022-05-02
104,17558,02-May-22,RT1,10,19,2022-05-02
105,16558,02-May-22,RT1,12,19,2022-05-02
106,17560,02-May-22,RT1,22,40,2022-05-02
107,19558,02-May-22,RT1,16,40,2022-05-02
108,19560,02-May-22,RT1,14,26,2022-05-02
109,17561,02-May-22,RT1,15,26,2022-05-02
110,16560,02-May-22,RT1,17,34,2022-05-02
111,16561,02-May-22,RT1,11,18,2022-05-02
112,16562,02-May-22,RT1,17,31,2022-05-02
113,16563,02-May-22,RT1,25,41,2022-05-02
114,17559,02-May-22,RT1,20,32,2022-05-02
115,17562,02-May-22,RT1,9,20,2022-05-02
116,17563,02-May-22,RT1,15,25,2022-05-02
117,18558,02-May-22,RT1,8,15,2022-05-02
118,18559,02-May-22,RT1,17,42,2022-05-02
119,18561,02-May-22,RT1,24,33,2022-05-02
120,18562,02-May-22,RT1,22,38,2022-05-02
121,18563,02-May-22,RT1,14,27,2022-05-02
122,19559,02-May-22,RT1,13,24,2022-05-02
123,19561,02-May-22,RT1,20,36,2022-05-02
124,17564,02-May-22,RT1,7,16,2022-05-02
125,19562,02-May-22,RT2,15,23,2022-05-02
126,18563,02-May-22,RT2,15,29,2022-05-02
127,17561,02-May-22,RT2,23,36,2022-05-02
128,17558,02-May-22,RT2,27,50,2022-05-02
129,16562,02-May-22,RT2,21,43,2022-05-02
130,16561,02-May-22,RT2,16,24,2022-05-02
131,16558,02-May-22,RT2,14,22,2022-05-02
132,19560,02-May-22,RT2,21,38,2022-05-02
133,16563,02-May-22,RT2,23,38,2022-05-02
134,16559,02-May-22,RT2,23,41,2022-05-02
135,19559,02-May-22,RT2,19,41,2022-05-02
136,19558,02-May-22,RT2,17,39,2022-05-02
137,17559,02-May-22,RT2,26,39,2022-05-02
138,16560,02-May-22,RT2,17,34,2022-05-02
139,18562,02-May-22,RT2,17,34,2022-05-02
140,18559,02-May-22,RT2,18,44,2022-05-02
141,17563,02-May-22,RT2,28,44,2022-05-02
142,17562,02-May-22,RT2,14,30,2022-05-02
143,18558,02-May-22,RT2,14,30,2022-05-02
144,17564,02-May-22,RT2,16,40,2022-05-02
145,18561,02-May-22,RT2,25,40,2022-05-02
146,18560,02-May-22,RT2,26,40,2022-05-02
147,17560,02-May-22,RT2,23,45,2022-05-02
148,19561,02-May-22,RT2,22,45,2022-05-02
149,19563,02-May-22,RT2,20,45,2022-05-02
150,19563,02-May-22,RT3,14,29,2022-05-02
151,19562,02-May-22,RT3,18,29,2022-05-02
152,19561,02-May-22,RT3,17,29,2022-05-02
153,18562,02-May-22,RT3,18,29,2022-05-02
154,17558,02-May-22,RT3,12,27,2022-05-02
155,17562,02-May-22,RT3,12,27,2022-05-02
156,19559,02-May-22,RT3,14,27,2022-05-02
157,16559,02-May-22,RT3,20,32,2022-05-02
158,16558,02-May-22,RT3,5,8,2022-05-02
159,18561,02-May-22,RT3,18,25,2022-05-02
160,18558,02-May-22,RT3,15,26,2022-05-02
161,16561,02-May-22,RT3,13,21,2022-05-02
162,16563,02-May-22,RT3,13,20,2022-05-02
163,17560,02-May-22,RT3,13,25,2022-05-02
164,18560,02-May-22,RT3,14,24,2022-05-02
165,17559,02-May-22,RT3,9,16,2022-05-02
166,17563,02-May-22,RT3,9,16,2022-05-02
167,18559,02-May-22,RT3,9,23,2022-05-02
168,19558,02-May-22,RT3,9,21,2022-05-02
169,17564,02-May-22,RT3,9,24,2022-05-02
170,16560,02-May-22,RT3,10,20,2022-05-02
171,17561,02-May-22,RT3,10,19,2022-05-02
172,16562,02-May-22,RT3,11,18,2022-05-02
173,18563,02-May-22,RT3,11,23,2022-05-02
174,19560,02-May-22,RT3,11,19,2022-05-02
175,19559,02-May-22,RT4,2,3,2022-05-02
176,16558,02-May-22,RT4,2,3,2022-05-02
177,17558,02-May-22,RT4,4,6,2022-05-02
178,19563,02-May-22,RT4,4,6,2022-05-02
179,19558,02-May-22,RT4,4,7,2022-05-02
180,19561,02-May-22,RT4,4,7,2022-05-02
181,18561,02-May-22,RT4,5,9,2022-05-02
182,16561,02-May-22,RT4,6,10,2022-05-02
183,17560,02-May-22,RT4,6,13,2022-05-02
184,17564,02-May-22,RT4,6,17,2022-05-02
185,18560,02-May-22,RT4,11,15,2022-05-02
186,19560,02-May-22,RT4,11,16,2022-05-02
187,18559,02-May-22,RT4,9,19,2022-05-02
188,17563,02-May-22,RT4,12,19,2022-05-02
189,19562,02-May-22,RT4,8,14,2022-05-02
190,17559,02-May-22,RT4,8,14,2022-05-02
191,18558,02-May-22,RT4,10,20,2022-05-02
192,18562,02-May-22,RT4,12,20,2022-05-02
193,18563,02-May-22,RT4,11,18,2022-05-02
194,16563,02-May-22,RT4,12,18,2022-05-02
195,16559,02-May-22,RT4,12,18,2022-05-02
196,16562,02-May-22,RT4,3,6,2022-05-02
197,17562,02-May-22,RT4,3,6,2022-05-02
198,16560,02-May-22,RT4,3,7,2022-05-02
199,17561,02-May-22,RT4,3,4,2022-05-02
200,19563,03-May-22,RT3,15,29,2022-05-03
201,16559,03-May-22,RT1,17,30,2022-05-03
202,18560,03-May-22,RT1,19,30,2022-05-03
203,19562,03-May-22,RT1,19,30,2022-05-03
204,19563,03-May-22,RT1,15,30,2022-05-03
205,17558,03-May-22,RT1,9,19,2022-05-03
206,16558,03-May-22,RT1,14,19,2022-05-03
207,17560,03-May-22,RT1,19,40,2022-05-03
208,19558,03-May-22,RT1,20,40,2022-05-03
209,19560,03-May-22,RT1,14,26,2022-05-03
210,17561,03-May-22,RT1,16,26,2022-05-03
211,16560,03-May-22,RT1,19,34,2022-05-03
212,16561,03-May-22,RT1,10,18,2022-05-03
213,16562,03-May-22,RT1,14,31,2022-05-03
214,16563,03-May-22,RT1,25,41,2022-05-03
215,17559,03-May-22,RT1,20,32,2022-05-03
216,17562,03-May-22,RT1,10,20,2022-05-03
217,17563,03-May-22,RT1,16,25,2022-05-03
218,18558,03-May-22,RT1,8,15,2022-05-03
219,18559,03-May-22,RT1,18,42,2022-05-03
220,18561,03-May-22,RT1,19,33,2022-05-03
221,18562,03-May-22,RT1,23,38,2022-05-03
222,18563,03-May-22,RT1,13,27,2022-05-03
223,19559,03-May-22,RT1,12,24,2022-05-03
224,19561,03-May-22,RT1,20,36,2022-05-03
225,17564,03-May-22,RT1,6,16,2022-05-03
226,19562,03-May-22,RT2,14,23,2022-05-03
227,18563,03-May-22,RT2,14,29,2022-05-03
228,17561,03-May-22,RT2,23,36,2022-05-03
229,17558,03-May-22,RT2,26,50,2022-05-03
230,16562,03-May-22,RT2,19,43,2022-05-03
231,16561,03-May-22,RT2,16,24,2022-05-03
232,16558,03-May-22,RT2,14,22,2022-05-03
233,19560,03-May-22,RT2,25,38,2022-05-03
234,16563,03-May-22,RT2,24,38,2022-05-03
235,16559,03-May-22,RT2,26,41,2022-05-03
236,19559,03-May-22,RT2,22,41,2022-05-03
237,19558,03-May-22,RT2,16,39,2022-05-03
238,17559,03-May-22,RT2,24,39,2022-05-03
239,16560,03-May-22,RT2,16,34,2022-05-03
240,18562,03-May-22,RT2,22,34,2022-05-03
241,18559,03-May-22,RT2,19,44,2022-05-03
242,17563,03-May-22,RT2,30,44,2022-05-03
243,17562,03-May-22,RT2,15,30,2022-05-03
244,18558,03-May-22,RT2,16,30,2022-05-03
245,17564,03-May-22,RT2,16,40,2022-05-03
246,18561,03-May-22,RT2,25,40,2022-05-03
247,18560,03-May-22,RT2,25,40,2022-05-03
248,17560,03-May-22,RT2,22,45,2022-05-03
249,19561,03-May-22,RT2,21,45,2022-05-03
250,19563,03-May-22,RT2,23,45,2022-05-03
251,19562,03-May-22,RT3,18,29,2022-05-03
252,19561,03-May-22,RT3,14,29,2022-05-03
253,18562,03-May-22,RT3,17,29,2022-05-03
254,17558,03-May-22,RT3,15,27,2022-05-03
255,17562,03-May-22,RT3,12,27,2022-05-03
256,19559,03-May-22,RT3,14,27,2022-05-03
257,16559,03-May-22,RT3,21,32,2022-05-03
258,16558,03-May-22,RT3,5,8,2022-05-03
259,18561,03-May-22,RT3,15,25,2022-05-03
260,18560,03-May-22,RT3,15,24,2022-05-03
261,16562,03-May-22,RT3,8,18,2022-05-03
262,16561,03-May-22,RT3,13,21,2022-05-03
263,16563,03-May-22,RT3,13,20,2022-05-03
264,18558,03-May-22,RT3,13,26,2022-05-03
265,18559,03-May-22,RT3,9,23,2022-05-03
266,19558,03-May-22,RT3,9,21,2022-05-03
267,16560,03-May-22,RT3,10,20,2022-05-03
268,17559,03-May-22,RT3,10,16,2022-05-03
269,17563,03-May-22,RT3,10,16,2022-05-03
270,17561,03-May-22,RT3,12,19,2022-05-03
271,19560,03-May-22,RT3,12,19,2022-05-03
272,17560,03-May-22,RT3,11,25,2022-05-03
273,18563,03-May-22,RT3,11,23,2022-05-03
274,17564,03-May-22,RT3,11,24,2022-05-03
275,17562,03-May-22,RT4,2,6,2022-05-03
276,16558,03-May-22,RT4,2,3,2022-05-03
277,19563,03-May-22,RT4,4,6,2022-05-03
278,19561,03-May-22,RT4,4,7,2022-05-03
279,18561,03-May-22,RT4,5,9,2022-05-03
280,16561,03-May-22,RT4,7,10,2022-05-03
281,17560,03-May-22,RT4,7,13,2022-05-03
282,19559,03-May-22,RT4,1,3,2022-05-03
283,17564,03-May-22,RT4,7,17,2022-05-03
284,18560,03-May-22,RT4,9,15,2022-05-03
285,19560,03-May-22,RT4,10,16,2022-05-03
286,18559,03-May-22,RT4,9,19,2022-05-03
287,17563,03-May-22,RT4,11,19,2022-05-03
288,19562,03-May-22,RT4,9,14,2022-05-03
289,17559,03-May-22,RT4,10,14,2022-05-03
290,18558,03-May-22,RT4,10,20,2022-05-03
291,18562,03-May-22,RT4,12,20,2022-05-03
292,18563,03-May-22,RT4,8,18,2022-05-03
293,16563,03-May-22,RT4,11,18,2022-05-03
294,16559,03-May-22,RT4,11,18,2022-05-03
295,16562,03-May-22,RT4,3,6,2022-05-03
296,17558,03-May-22,RT4,3,6,2022-05-03
297,16560,03-May-22,RT4,3,7,2022-05-03
298,19558,03-May-22,RT4,3,7,2022-05-03
299,17561,03-May-22,RT4,3,4,2022-05-03
300,19563,04-May-22,RT3,15,29,2022-05-04
301,18560,04-May-22,RT1,20,30,2022-05-04
302,19562,04-May-22,RT1,17,30,2022-05-04
303,19563,04-May-22,RT1,14,30,2022-05-04
304,17558,04-May-22,RT1,9,19,2022-05-04
305,16558,04-May-22,RT1,13,19,2022-05-04
306,17560,04-May-22,RT1,22,40,2022-05-04
307,19558,04-May-22,RT1,15,40,2022-05-04
308,19560,04-May-22,RT1,16,26,2022-05-04
309,17561,04-May-22,RT1,15,26,2022-05-04
310,16560,04-May-22,RT1,17,34,2022-05-04
311,16561,04-May-22,RT1,11,18,2022-05-04
312,16562,04-May-22,RT1,16,31,2022-05-04
313,16563,04-May-22,RT1,28,41,2022-05-04
314,17559,04-May-22,RT1,19,32,2022-05-04
315,17562,04-May-22,RT1,9,20,2022-05-04
316,17563,04-May-22,RT1,16,25,2022-05-04
317,18558,04-May-22,RT1,7,15,2022-05-04
318,18559,04-May-22,RT1,18,42,2022-05-04
319,18561,04-May-22,RT1,22,33,2022-05-04
320,18562,04-May-22,RT1,25,38,2022-05-04
321,18563,04-May-22,RT1,16,27,2022-05-04
322,19559,04-May-22,RT1,12,24,2022-05-04
323,19561,04-May-22,RT1,16,36,2022-05-04
324,17564,04-May-22,RT1,7,16,2022-05-04
325,19562,04-May-22,RT2,14,23,2022-05-04
326,18563,04-May-22,RT2,16,29,2022-05-04
327,17561,04-May-22,RT2,21,36,2022-05-04
328,17558,04-May-22,RT2,27,50,2022-05-04
329,16562,04-May-22,RT2,21,43,2022-05-04
330,16561,04-May-22,RT2,15,24,2022-05-04
331,16558,04-May-22,RT2,14,22,2022-05-04
332,19560,04-May-22,RT2,21,38,2022-05-04
333,16563,04-May-22,RT2,23,38,2022-05-04
334,16559,04-May-22,RT2,28,41,2022-05-04
335,19559,04-May-22,RT2,22,41,2022-05-04
336,19558,04-May-22,RT2,18,39,2022-05-04
337,17559,04-May-22,RT2,23,39,2022-05-04
338,16560,04-May-22,RT2,20,34,2022-05-04
339,18562,04-May-22,RT2,22,34,2022-05-04
340,18559,04-May-22,RT2,19,44,2022-05-04
341,17563,04-May-22,RT2,29,44,2022-05-04
342,17562,04-May-22,RT2,11,30,2022-05-04
343,18558,04-May-22,RT2,16,30,2022-05-04
344,17564,04-May-22,RT2,18,40,2022-05-04
345,18561,04-May-22,RT2,25,40,2022-05-04
346,18560,04-May-22,RT2,28,40,2022-05-04
347,17560,04-May-22,RT2,20,45,2022-05-04
348,19561,04-May-22,RT2,21,45,2022-05-04
349,19563,04-May-22,RT2,20,45,2022-05-04
350,16559,04-May-22,RT1,21,30,2022-05-04
351,19562,04-May-22,RT3,20,29,2022-05-04
352,19561,04-May-22,RT3,13,29,2022-05-04
353,18562,04-May-22,RT3,16,29,2022-05-04
354,17558,04-May-22,RT3,12,27,2022-05-04
355,17562,04-May-22,RT3,9,27,2022-05-04
356,19559,04-May-22,RT3,14,27,2022-05-04
357,16559,04-May-22,RT3,19,32,2022-05-04
358,16558,04-May-22,RT3,6,8,2022-05-04
359,18561,04-May-22,RT3,16,25,2022-05-04
360,18560,04-May-22,RT3,17,24,2022-05-04
361,17563,04-May-22,RT3,8,16,2022-05-04
362,17564,04-May-22,RT3,8,24,2022-05-04
363,16561,04-May-22,RT3,14,21,2022-05-04
364,17560,04-May-22,RT3,14,25,2022-05-04
365,18558,04-May-22,RT3,14,26,2022-05-04
366,19558,04-May-22,RT3,9,21,2022-05-04
367,16560,04-May-22,RT3,10,20,2022-05-04
368,17561,04-May-22,RT3,10,19,2022-05-04
369,18559,04-May-22,RT3,10,23,2022-05-04
370,16563,04-May-22,RT3,12,20,2022-05-04
371,17559,04-May-22,RT3,12,16,2022-05-04
372,16562,04-May-22,RT3,11,18,2022-05-04
373,18563,04-May-22,RT3,11,23,2022-05-04
374,19560,04-May-22,RT3,11,19,2022-05-04
375,17562,04-May-22,RT4,2,6,2022-05-04
376,19559,04-May-22,RT4,2,3,2022-05-04
377,16558,04-May-22,RT4,2,3,2022-05-04
378,18561,04-May-22,RT4,4,9,2022-05-04
379,16561,04-May-22,RT4,5,10,2022-05-04
380,17560,04-May-22,RT4,6,13,2022-05-04
381,17564,04-May-22,RT4,9,17,2022-05-04
382,18560,04-May-22,RT4,10,15,2022-05-04
383,19560,04-May-22,RT4,11,16,2022-05-04
384,18559,04-May-22,RT4,8,19,2022-05-04
385,17563,04-May-22,RT4,11,19,2022-05-04
386,19562,04-May-22,RT4,8,14,2022-05-04
387,17559,04-May-22,RT4,9,14,2022-05-04
388,18558,04-May-22,RT4,11,20,2022-05-04
389,18562,04-May-22,RT4,12,20,2022-05-04
390,18563,04-May-22,RT4,8,18,2022-05-04
391,16563,04-May-22,RT4,12,18,2022-05-04
392,16559,04-May-22,RT4,11,18,2022-05-04
393,16562,04-May-22,RT4,3,6,2022-05-04
394,17558,04-May-22,RT4,3,6,2022-05-04
395,19563,04-May-22,RT4,3,6,2022-05-04
396,16560,04-May-22,RT4,3,7,2022-05-04
397,19558,04-May-22,RT4,3,7,2022-05-04
398,19561,04-May-22,RT4,3,7,2022-05-04
399,17561,04-May-22,RT4,3,4,2022-05-04
400,16559,05-May-22,RT1,16,30,2022-05-05
401,18560,05-May-22,RT1,15,30,2022-05-05
402,19562,05-May-22,RT1,19,30,2022-05-05
403,19563,05-May-22,RT1,14,30,2022-05-05
404,17558,05-May-22,RT1,10,19,2022-05-05
405,16558,05-May-22,RT1,12,19,2022-05-05
406,17560,05-May-22,RT1,20,40,2022-05-05
407,19558,05-May-22,RT1,18,40,2022-05-05
408,19560,05-May-22,RT1,18,26,2022-05-05
409,17561,05-May-22,RT1,15,26,2022-05-05
410,16560,05-May-22,RT1,17,34,2022-05-05
411,16561,05-May-22,RT1,13,18,2022-05-05
412,16562,05-May-22,RT1,15,31,2022-05-05
413,16563,05-May-22,RT1,30,41,2022-05-05
414,17559,05-May-22,RT1,21,32,2022-05-05
415,17562,05-May-22,RT1,8,20,2022-05-05
416,17563,05-May-22,RT1,18,25,2022-05-05
417,18558,05-May-22,RT1,8,15,2022-05-05
418,18559,05-May-22,RT1,16,42,2022-05-05
419,18561,05-May-22,RT1,25,33,2022-05-05
420,18562,05-May-22,RT1,24,38,2022-05-05
421,18563,05-May-22,RT1,14,27,2022-05-05
422,19559,05-May-22,RT1,13,24,2022-05-05
423,19561,05-May-22,RT1,17,36,2022-05-05
424,17564,05-May-22,RT1,6,16,2022-05-05
425,19562,05-May-22,RT2,15,23,2022-05-05
426,18563,05-May-22,RT2,14,29,2022-05-05
427,17561,05-May-22,RT2,25,36,2022-05-05
428,17558,05-May-22,RT2,29,50,2022-05-05
429,16562,05-May-22,RT2,20,43,2022-05-05
430,16561,05-May-22,RT2,15,24,2022-05-05
431,16558,05-May-22,RT2,13,22,2022-05-05
432,19560,05-May-22,RT2,27,38,2022-05-05
433,16563,05-May-22,RT2,25,38,2022-05-05
434,16559,05-May-22,RT2,24,41,2022-05-05
435,19559,05-May-22,RT2,23,41,2022-05-05
436,19558,05-May-22,RT2,20,39,2022-05-05
437,17559,05-May-22,RT2,26,39,2022-05-05
438,16560,05-May-22,RT2,19,34,2022-05-05
439,18562,05-May-22,RT2,22,34,2022-05-05
440,18559,05-May-22,RT2,22,44,2022-05-05
441,17563,05-May-22,RT2,28,44,2022-05-05
442,17562,05-May-22,RT2,13,30,2022-05-05
443,18558,05-May-22,RT2,15,30,2022-05-05
444,17564,05-May-22,RT2,18,40,2022-05-05
445,18561,05-May-22,RT2,26,40,2022-05-05
446,18560,05-May-22,RT2,26,40,2022-05-05
447,17560,05-May-22,RT2,20,45,2022-05-05
448,19561,05-May-22,RT2,21,45,2022-05-05
449,19563,05-May-22,RT2,22,45,2022-05-05
450,19563,05-May-22,RT3,14,29,2022-05-05
451,19562,05-May-22,RT3,19,29,2022-05-05
452,19561,05-May-22,RT3,14,29,2022-05-05
453,18562,05-May-22,RT3,18,29,2022-05-05
454,17558,05-May-22,RT3,14,27,2022-05-05
455,17562,05-May-22,RT3,11,27,2022-05-05
456,19559,05-May-22,RT3,14,27,2022-05-05
457,16559,05-May-22,RT3,20,32,2022-05-05
458,16558,05-May-22,RT3,4,8,2022-05-05
459,18561,05-May-22,RT3,15,25,2022-05-05
460,18560,05-May-22,RT3,16,24,2022-05-05
461,17560,05-May-22,RT3,13,25,2022-05-05
462,16563,05-May-22,RT3,14,20,2022-05-05
463,16562,05-May-22,RT3,9,18,2022-05-05
464,19558,05-May-22,RT3,9,21,2022-05-05
465,16560,05-May-22,RT3,10,20,2022-05-05
466,17559,05-May-22,RT3,10,16,2022-05-05
467,17563,05-May-22,RT3,10,16,2022-05-05
468,18559,05-May-22,RT3,10,23,2022-05-05
469,16561,05-May-22,RT3,12,21,2022-05-05
470,18558,05-May-22,RT3,12,26,2022-05-05
471,19560,05-May-22,RT3,12,19,2022-05-05
472,17564,05-May-22,RT3,12,24,2022-05-05
473,17561,05-May-22,RT3,11,19,2022-05-05
474,18563,05-May-22,RT3,11,23,2022-05-05
475,19559,05-May-22,RT4,2,3,2022-05-05
476,16558,05-May-22,RT4,2,3,2022-05-05
477,16560,05-May-22,RT4,4,7,2022-05-05
478,19561,05-May-22,RT4,4,7,2022-05-05
479,18561,05-May-22,RT4,5,9,2022-05-05
480,16561,05-May-22,RT4,6,10,2022-05-05
481,17560,05-May-22,RT4,6,13,2022-05-05
482,17564,05-May-22,RT4,7,17,2022-05-05
483,18560,05-May-22,RT4,10,15,2022-05-05
484,19560,05-May-22,RT4,10,16,2022-05-05
485,18559,05-May-22,RT4,8,19,2022-05-05
486,17563,05-May-22,RT4,12,19,2022-05-05
487,19562,05-May-22,RT4,9,14,2022-05-05
488,17559,05-May-22,RT4,8,14,2022-05-05
489,18558,05-May-22,RT4,11,20,2022-05-05
490,18562,05-May-22,RT4,12,20,2022-05-05
491,18563,05-May-22,RT4,10,18,2022-05-05
492,16563,05-May-22,RT4,12,18,2022-05-05
493,16559,05-May-22,RT4,13,18,2022-05-05
494,16562,05-May-22,RT4,3,6,2022-05-05
495,17558,05-May-22,RT4,3,6,2022-05-05
496,17562,05-May-22,RT4,3,6,2022-05-05
497,19563,05-May-22,RT4,3,6,2022-05-05
498,19558,05-May-22,RT4,3,7,2022-05-05
499,17561,05-May-22,RT4,3,4,2022-05-05
500,16559,06-May-22,RT1,21,30,2022-05-06
501,18560,06-May-22,RT1,20,30,2022-05-06
502,19562,06-May-22,RT1,18,30,2022-05-06
503,19563,06-May-22,RT1,15,30,2022-05-06
504,17558,06-May-22,RT1,9,19,2022-05-06
505,16558,06-May-22,RT1,10,19,2022-05-06
506,17560,06-May-22,RT1,18,40,2022-05-06
507,19558,06-May-22,RT1,18,40,2022-05-06
508,19560,06-May-22,RT1,17,26,2022-05-06
509,17561,06-May-22,RT1,16,26,2022-05-06
510,16560,06-May-22,RT1,19,34,2022-05-06
511,16561,06-May-22,RT1,12,18,2022-05-06
512,16562,06-May-22,RT1,14,31,2022-05-06
513,16563,06-May-22,RT1,23,41,2022-05-06
514,17559,06-May-22,RT1,19,32,2022-05-06
515,17562,06-May-22,RT1,8,20,2022-05-06
516,17563,06-May-22,RT1,14,25,2022-05-06
517,18558,06-May-22,RT1,7,15,2022-05-06
518,18559,06-May-22,RT1,18,42,2022-05-06
519,18561,06-May-22,RT1,23,33,2022-05-06
520,18562,06-May-22,RT1,24,38,2022-05-06
521,18563,06-May-22,RT1,12,27,2022-05-06
522,19559,06-May-22,RT1,14,24,2022-05-06
523,19561,06-May-22,RT1,20,36,2022-05-06
524,17564,06-May-22,RT1,7,16,2022-05-06
525,19562,06-May-22,RT2,18,23,2022-05-06
526,18563,06-May-22,RT2,15,29,2022-05-06
527,17561,06-May-22,RT2,20,36,2022-05-06
528,17558,06-May-22,RT2,29,50,2022-05-06
529,16562,06-May-22,RT2,24,43,2022-05-06
530,16561,06-May-22,RT2,14,24,2022-05-06
531,16558,06-May-22,RT2,15,22,2022-05-06
532,19560,06-May-22,RT2,22,38,2022-05-06
533,16563,06-May-22,RT2,27,38,2022-05-06
534,16559,06-May-22,RT2,23,41,2022-05-06
