,index,customer_id,month,category,payment_type,spend
50,168,ATQCUS0274,May,Travel,Credit Card,960.0
51,169,ATQCUS0996,June,Travel,Credit Card,1090.0
52,171,ATQCUS2776,July,Bills,Credit Card,749.0
53,188,ATQCUS1729,August,Travel,Credit Card,1237.0
54,190,ATQCUS3345,August,Food,Credit Card,306.0
55,192,ATQCUS1372,June,Food,Credit Card,658.0
56,201,ATQCUS2053,May,Health & Wellness,Credit Card,350.0
57,211,ATQCUS3409,August,Food,Credit Card,714.0
58,216,ATQCUS1834,July,Bills,Credit Card,1305.0
59,222,ATQCUS0775,June,Food,Credit Card,1076.0
60,223,ATQCUS2925,September,Food,Credit Card,420.0
61,225,ATQCUS1487,August,Groceries,Credit Card,776.0
62,232,ATQCUS2541,September,Food,Credit Card,1388.0
63,234,ATQCUS1873,July,Travel,Credit Card,650.0
64,240,ATQCUS0025,August,Others,Credit Card,157.0
65,246,ATQCUS2303,September,Health & Wellness,Credit Card,2442.0
66,255,ATQCUS1662,September,Groceries,Credit Card,3163.0
67,263,ATQCUS0453,May,Travel,Credit Card,1071.0
68,265,ATQCUS1355,September,Groceries,Credit Card,1950.0
69,266,ATQCUS0274,May,Electronics,Credit Card,1317.0
70,267,ATQCUS3467,August,Groceries,Credit Card,2082.0
71,275,ATQCUS3509,June,Groceries,Credit Card,2719.0
72,284,ATQCUS3849,October,Electronics,Credit Card,657.0
73,287,ATQCUS2664,August,Apparel,Credit Card,818.0
74,291,ATQCUS2611,June,Food,Credit Card,682.0
75,296,ATQCUS0615,July,Groceries,Credit Card,2474.0
76,300,ATQCUS0423,June,Groceries,Credit Card,1071.0
77,301,ATQCUS2607,October,Health & Wellness,Credit Card,2734.0
78,302,ATQCUS1729,May,Entertainment,Credit Card,304.0
79,304,ATQCUS3811,May,Electronics,Credit Card,509.0
80,309,ATQCUS2798,September,Health & Wellness,Credit Card,4128.0
81,310,ATQCUS2954,June,Travel,Credit Card,498.0
82,315,ATQCUS3545,May,Food,Credit Card,341.0
83,316,ATQCUS0884,July,Bills,Credit Card,1616.0
84,319,ATQCUS2224,September,Travel,Credit Card,1313.0
85,320,ATQCUS0728,May,Others,Credit Card,86.0
86,322,ATQCUS3034,July,Others,Credit Card,240.0
87,328,ATQCUS2974,July,Apparel,Credit Card,1090.0
88,329,ATQCUS2192,October,Health & Wellness,Credit Card,3268.0
89,332,ATQCUS1445,October,Food,Credit Card,539.0
90,335,ATQCUS2073,June,Entertainment,Credit Card,828.0
91,339,ATQCUS0286,October,Others,Credit Card,132.0
92,341,ATQCUS3063,June,Health & Wellness,Credit Card,1351.0
93,342,ATQCUS0160,June,Health & Wellness,Credit Card,1166.0
94,343,ATQCUS3568,September,Others,Credit Card,320.0
95,345,ATQCUS2790,August,Travel,Credit Card,1529.0
96,347,ATQCUS2867,October,Travel,Credit Card,286.0
97,354,ATQCUS1424,June,Electronics,Credit Card,777.0
98,360,ATQCUS2193,August,Groceries,Credit Card,2174.0
99,365,ATQCUS1544,August,Bills,Credit Card,3707.0
100,371,ATQCUS2905,May,Groceries,Credit Card,1026.0
101,374,ATQCUS2701,June,Others,Credit Card,197.0
102,375,ATQCUS3457,June,Food,Credit Card,882.0
103,376,ATQCUS0012,August,Entertainment,Credit Card,2823.0
104,377,ATQCUS1854,September,Health & Wellness,Credit Card,1334.0
105,380,ATQCUS0664,June,Entertainment,Credit Card,419.0
106,381,ATQCUS1607,September,Food,Credit Card,407.0
107,386,ATQCUS0455,October,Entertainment,Credit Card,579.0
108,387,ATQCUS2261,September,Apparel,Credit Card,981.0
109,393,ATQCUS0064,July,Others,Credit Card,263.0
110,394,ATQCUS0019,August,Health & Wellness,Credit Card,314.0
111,396,ATQCUS2799,May,Others,Credit Card,302.0
112,399,ATQCUS0012,July,Apparel,Credit Card,636.0
113,405,ATQCUS1763,June,Groceries,Credit Card,702.0
114,407,ATQCUS2035,July,Electronics,Credit Card,335.0
115,410,ATQCUS1083,July,Groceries,Credit Card,1644.0
116,415,ATQCUS2653,June,Apparel,Credit Card,686.0
117,417,ATQCUS2450,October,Electronics,Credit Card,612.0
118,423,ATQCUS3927,October,Apparel,Credit Card,803.0
119,426,ATQCUS0652,August,Health & Wellness,Credit Card,285.0
120,431,ATQCUS3819,June,Apparel,Credit Card,1744.0
121,435,ATQCUS2884,May,Others,Credit Card,126.0
122,439,ATQCUS3269,July,Bills,Credit Card,271.0
123,440,ATQCUS3108,October,Bills,Credit Card,718.0
124,442,ATQCUS0365,August,Others,Credit Card,337.0
125,445,ATQCUS1895,October,Apparel,Credit Card,156.0
126,450,ATQCUS0642,July,Health & Wellness,Credit Card,298.0
127,460,ATQCUS3995,July,Bills,Credit Card,1050.0
128,463,ATQCUS1711,May,Groceries,Credit Card,1076.0
129,477,ATQCUS1946,September,Travel,Credit Card,896.0
130,486,ATQCUS0336,October,Groceries,Credit Card,2740.0
131,497,ATQCUS0697,June,Health & Wellness,Credit Card,355.0
132,501,ATQCUS1835,May,Bills,Credit Card,1350.0
133,502,ATQCUS0612,May,Apparel,Credit Card,163.0
134,509,ATQCUS1246,October,Travel,Credit Card,1642.0
135,510,ATQCUS3931,October,Others,Credit Card,344.0
136,511,ATQCUS1546,August,Entertainment,Credit Card,800.0
137,513,ATQCUS0254,August,Travel,Credit Card,1549.0
138,514,ATQCUS3183,August,Apparel,Credit Card,546.0
139,520,ATQCUS1540,August,Groceries,Credit Card,2120.0
140,521,ATQCUS2621,July,Food,Credit Card,464.0
141,522,ATQCUS3775,October,Others,Credit Card,92.0
142,536,ATQCUS0914,September,Food,Credit Card,1527.0
143,538,ATQCUS0333,September,Groceries,Credit Card,3912.0
144,544,ATQCUS2331,October,Bills,Credit Card,889.0
145,551,ATQCUS1586,July,Entertainment,Credit Card,498.0
146,555,ATQCUS2078,September,Others,Credit Card,62.0
147,561,ATQCUS3348,July,Electronics,Credit Card,819.0
148,563,ATQCUS3271,May,Apparel,Credit Card,372.0
149,571,ATQCUS3492,May,Apparel,Credit Card,132.0
150,574,ATQCUS2120,May,Bills,Credit Card,1354.0
151,583,ATQCUS0636,June,Groceries,Credit Card,2040.0
152,587,ATQCUS2043,May,Others,Credit Card,265.0
153,589,ATQCUS1615,October,Health & Wellness,Credit Card,531.0
154,606,ATQCUS0099,July,Travel,Credit Card,151.0
155,607,ATQCUS3423,August,Travel,Credit Card,228.0
156,610,ATQCUS0806,September,Others,Credit Card,221.0
157,613,ATQCUS0917,May,Apparel,Credit Card,266.0
158,633,ATQCUS3388,June,Travel,Credit Card,146.0
159,638,ATQCUS3739,May,Electronics,Credit Card,1072.0
160,648,ATQCUS2188,October,Health & Wellness,Credit Card,2419.0
161,651,ATQCUS2348,May,Travel,Credit Card,936.0
162,658,ATQCUS1339,May,Food,Credit Card,371.0
163,668,ATQCUS2195,September,Travel,Credit Card,4600.0
164,670,ATQCUS2274,August,Apparel,Credit Card,1069.0
165,671,ATQCUS0635,May,Bills,Credit Card,2361.0
166,681,ATQCUS0043,July,Bills,Credit Card,448.0
167,702,ATQCUS3533,October,Others,Credit Card,252.0
168,707,ATQCUS2371,July,Health & Wellness,Credit Card,1384.0
169,712,ATQCUS0483,June,Health & Wellness,Credit Card,1152.0
170,716,ATQCUS3595,October,Entertainment,Credit Card,488.0
171,718,ATQCUS3300,June,Apparel,Credit Card,370.0
172,723,ATQCUS2541,October,Food,Credit Card,1219.0
173,729,ATQCUS0971,August,Travel,Credit Card,1322.0
174,731,ATQCUS2088,June,Travel,Credit Card,2519.0
175,733,ATQCUS2073,May,Apparel,Credit Card,1181.0
176,736,ATQCUS1896,August,Travel,Credit Card,940.0
177,739,ATQCUS1119,July,Apparel,Credit Card,259.0
178,744,ATQCUS2018,May,Entertainment,Credit Card,553.0
179,745,ATQCUS2172,September,Electronics,Credit Card,1188.0
180,750,ATQCUS3922,September,Health & Wellness,Credit Card,4878.0
181,755,ATQCUS1107,August,Health & Wellness,Credit Card,1253.0
182,759,ATQCUS0420,August,Travel,Credit Card,1066.0
183,760,ATQCUS0114,July,Health & Wellness,Credit Card,197.0
184,762,ATQCUS3560,October,Travel,Credit Card,765.0
185,763,ATQCUS1249,September,Food,Credit Card,1367.0
186,766,ATQCUS1882,May,Bills,Credit Card,841.0
187,767,ATQCUS1235,August,Groceries,Credit Card,3128.0
188,778,ATQCUS2011,June,Bills,Credit Card,246.0
189,788,ATQCUS0318,October,Bills,Credit Card,3498.0
190,797,ATQCUS0162,September,Groceries,Credit Card,4027.0
191,805,ATQCUS2513,June,Groceries,Credit Card,764.0
192,806,ATQCUS2907,October,Bills,Credit Card,1326.0
193,816,ATQCUS2951,September,Health & Wellness,Credit Card,1611.0
194,824,ATQCUS3363,October,Others,Credit Card,116.0
195,826,ATQCUS1376,May,Bills,Credit Card,2150.0
196,827,ATQCUS1441,September,Groceries,Credit Card,1942.0
197,828,ATQCUS2439,October,Apparel,Credit Card,308.0
198,849,ATQCUS3711,September,Apparel,Credit Card,528.0
199,851,ATQCUS3492,July,Others,Credit Card,256.0
200,857,ATQCUS1830,May,Apparel,Credit Card,483.0
201,859,ATQCUS3260,July,Bills,Credit Card,575.0
202,865,ATQCUS3919,July,Groceries,Credit Card,1097.0
203,871,ATQCUS0677,July,Groceries,Credit Card,969.0
204,876,ATQCUS0666,August,Groceries,Credit Card,1335.0
205,886,ATQCUS2442,June,Groceries,Credit Card,597.0
206,889,ATQCUS2936,October,Entertainment,Credit Card,361.0
207,890,ATQCUS0008,September,Electronics,Credit Card,2403.0
208,894,ATQCUS2702,July,Bills,Credit Card,968.0
209,903,ATQCUS1956,May,Health & Wellness,Credit Card,647.0
210,909,ATQCUS1935,June,Apparel,Credit Card,230.0
211,912,ATQCUS1330,July,Electronics,Credit Card,984.0
212,916,ATQCUS2500,October,Others,Credit Card,308.0
213,917,ATQCUS1224,September,Groceries,Credit Card,3400.0
214,923,ATQCUS0367,July,Groceries,Credit Card,1275.0
215,930,ATQCUS0672,June,Apparel,Credit Card,149.0
216,932,ATQCUS3745,May,Travel,Credit Card,417.0
217,934,ATQCUS1041,May,Bills,Credit Card,1107.0
218,938,ATQCUS0619,July,Entertainment,Credit Card,679.0
219,941,ATQCUS3121,July,Apparel,Credit Card,724.0
220,955,ATQCUS2364,June,Travel,Credit Card,1512.0
221,965,ATQCUS3906,October,Food,Credit Card,276.0
222,968,ATQCUS1504,May,Groceries,Credit Card,405.0
223,970,ATQCUS0762,June,Food,Credit Card,318.0
224,976,ATQCUS1277,August,Travel,Credit Card,973.0
225,979,ATQCUS0059,June,Groceries,Credit Card,161.0
226,985,ATQCUS0802,June,Bills,Credit Card,1257.0
227,988,ATQCUS0109,May,Travel,Credit Card,275.0
228,992,ATQCUS2961,October,Travel,Credit Card,780.0
229,996,ATQCUS0805,September,Groceries,Credit Card,1477.0
230,1000,ATQCUS2556,September,Bills,Credit Card,3918.0
231,1003,ATQCUS1514,May,Groceries,Credit Card,589.0
232,1007,ATQCUS3435,September,Electronics,Credit Card,1286.0
233,1010,ATQCUS2903,September,Travel,Credit Card,1576.0
234,1015,ATQCUS0507,May,Bills,Credit Card,1540.0
235,1016,ATQCUS1047,June,Travel,Credit Card,442.0
236,1017,ATQCUS2861,May,Entertainment,Credit Card,113.0
237,1027,ATQCUS2325,June,Groceries,Credit Card,530.0
238,1036,ATQCUS1588,July,Entertainment,Credit Card,360.0
239,1037,ATQCUS0906,August,Others,Credit Card,887.0
240,1038,ATQCUS2039,August,Entertainment,Credit Card,566.0
241,1048,ATQCUS3397,June,Groceries,Credit Card,159.0
242,1053,ATQCUS1803,September,Entertainment,Credit Card,464.0
243,1055,ATQCUS1968,August,Bills,Credit Card,1391.0
244,1060,ATQCUS0117,June,Health & Wellness,Credit Card,299.0
245,1062,ATQCUS3932,June,Electronics,Credit Card,814.0
246,1063,ATQCUS0837,May,Travel,Credit Card,1005.0
247,1068,ATQCUS0819,October,Food,Credit Card,571.0
248,1075,ATQCUS2643,September,Health & Wellness,Credit Card,4353.0
249,1076,ATQCUS2718,September,Health & Wellness,Credit Card,5008.0
250,1078,ATQCUS2723,July,Others,Credit Card,446.0
251,1079,ATQCUS3858,June,Electronics,Credit Card,615.0
252,1081,ATQCUS2975,September,Apparel,Credit Card,1474.0
253,1092,ATQCUS3728,September,Entertainment,Credit Card,652.0
254,1095,ATQCUS2063,September,Groceries,Credit Card,120.0
255,1097,ATQCUS2358,July,Apparel,Credit Card,757.0
256,1104,ATQCUS3436,May,Electronics,Credit Card,640.0
257,1115,ATQCUS2660,September,Health & Wellness,Credit Card,4020.0
258,1123,ATQCUS0342,May,Travel,Credit Card,1827.0
259,1124,ATQCUS3718,September,Others,Credit Card,242.0
260,1125,ATQCUS3291,May,Electronics,Credit Card,551.0
261,1126,ATQCUS2625,June,Apparel,Credit Card,535.0
262,1127,ATQCUS3944,September,Travel,Credit Card,3451.0
263,1128,ATQCUS3208,May,Others,Credit Card,146.0
264,1133,ATQCUS0208,July,Bills,Credit Card,2244.0
265,1136,ATQCUS3989,August,Health & Wellness,Credit Card,870.0
266,1139,ATQCUS1904,August,Health & Wellness,Credit Card,1027.0
267,1146,ATQCUS0732,September,Travel,Credit Card,849.0
268,1147,ATQCUS3416,July,Health & Wellness,Credit Card,470.0
269,1150,ATQCUS0542,July,Bills,Credit Card,1877.0
270,1155,ATQCUS0551,August,Bills,Credit Card,2285.0
271,1159,ATQCUS0224,June,Electronics,Credit Card,2694.0
272,1165,ATQCUS0489,October,Health & Wellness,Credit Card,639.0
273,1169,ATQCUS0669,July,Electronics,Credit Card,1104.0
274,1172,ATQCUS3169,October,Health & Wellness,Credit Card,525.0
275,1173,ATQCUS3481,May,Bills,Credit Card,3825.0
276,1177,ATQCUS1359,July,Entertainment,Credit Card,722.0
277,1182,ATQCUS3449,August,Food,Credit Card,1175.0
278,1184,ATQCUS2469,May,Entertainment,Credit Card,444.0
279,1185,ATQCUS0060,June,Others,Credit Card,123.0
280,1186,ATQCUS0134,July,Groceries,Credit Card,3225.0
281,1187,ATQCUS2487,June,Travel,Credit Card,1045.0
282,1192,ATQCUS1597,June,Others,Credit Card,215.0
283,1194,ATQCUS2903,July,Health & Wellness,Credit Card,3669.0
284,1196,ATQCUS1797,May,Groceries,Credit Card,581.0
285,1198,ATQCUS2206,May,Entertainment,Credit Card,607.0
286,1199,ATQCUS0620,August,Others,Credit Card,337.0
287,1203,ATQCUS0164,June,Electronics,Credit Card,2811.0
288,1207,ATQCUS1135,July,Groceries,Credit Card,634.0
289,1208,ATQCUS3930,September,Others,Credit Card,533.0
290,1209,ATQCUS3078,May,Electronics,Credit Card,182.0
291,1214,ATQCUS0318,October,Electronics,Credit Card,3903.0
292,1224,ATQCUS0498,June,Travel,Credit Card,1090.0
293,1226,ATQCUS0239,August,Travel,Credit Card,1799.0
294,1232,ATQCUS2884,September,Entertainment,Credit Card,306.0
295,1236,ATQCUS1402,October,Entertainment,Credit Card,301.0
296,1247,ATQCUS3827,May,Travel,Credit Card,199.0
297,1251,ATQCUS3450,August,Electronics,Credit Card,4443.0
298,1266,ATQCUS2498,May,Groceries,Credit Card,511.0
299,1270,ATQCUS0861,June,Others,Credit Card,191.0
300,1275,ATQCUS0394,August,Food,Credit Card,729.0
301,1276,ATQCUS3501,August,Food,Credit Card,1751.0
302,1278,ATQCUS1431,August,Electronics,Credit Card,1658.0
303,1279,ATQCUS0040,May,Travel,Credit Card,166.0
304,1284,ATQCUS0508,September,Health & Wellness,Credit Card,846.0
305,1290,ATQCUS1162,August,Groceries,Credit Card,1811.0
306,1294,ATQCUS2975,August,Travel,Credit Card,2171.0
307,1297,ATQCUS3312,October,Electronics,Credit Card,1754.0
308,1302,ATQCUS0690,September,Bills,Credit Card,2602.0
309,1309,ATQCUS2813,October,Bills,Credit Card,1732.0
310,1311,ATQCUS2658,July,Travel,Credit Card,1181.0
311,1315,ATQCUS1913,September,Travel,Credit Card,1302.0
312,1319,ATQCUS0776,September,Bills,Credit Card,6347.0
313,1321,ATQCUS3880,July,Others,Credit Card,101.0
314,1334,ATQCUS2140,September,Entertainment,Credit Card,957.0
315,1335,ATQCUS2977,August,Entertainment,Credit Card,408.0
316,1361,ATQCUS0979,August,Others,Credit Card,232.0
317,1363,ATQCUS3108,July,Entertainment,Credit Card,132.0
318,1368,ATQCUS3394,September,Food,Credit Card,335.0
319,1387,ATQCUS0849,October,Others,Credit Card,289.0
320,1391,ATQCUS2826,July,Food,Credit Card,420.0
321,1399,ATQCUS0042,May,Others,Credit Card,326.0
322,1400,ATQCUS2634,September,Groceries,Credit Card,1653.0
323,1405,ATQCUS0802,October,Electronics,Credit Card,1530.0
324,1408,ATQCUS0828,July,Bills,Credit Card,2043.0
325,1414,ATQCUS1933,September,Groceries,Credit Card,965.0
326,1415,ATQCUS1709,October,Electronics,Credit Card,868.0
327,1417,ATQCUS2835,August,Apparel,Credit Card,925.0
328,1419,ATQCUS1446,August,Apparel,Credit Card,341.0
329,1422,ATQCUS2428,May,Travel,Credit Card,817.0
330,1425,ATQCUS0962,September,Apparel,Credit Card,528.0
331,1426,ATQCUS2546,September,Entertainment,Credit Card,833.0
332,1427,ATQCUS3971,September,Travel,Credit Card,2449.0
333,1428,ATQCUS0770,July,Food,Credit Card,632.0
334,1430,ATQCUS0975,July,Others,Credit Card,318.0
335,1433,ATQCUS3741,August,Apparel,Credit Card,2491.0
336,1439,ATQCUS3485,October,Others,Credit Card,144.0
337,1445,ATQCUS3488,June,Groceries,Credit Card,1260.0
338,1451,ATQCUS2706,May,Entertainment,Credit Card,174.0
339,1461,ATQCUS1893,October,Food,Credit Card,329.0
340,1463,ATQCUS2309,October,Apparel,Credit Card,663.0
341,1464,ATQCUS3888,June,Food,Credit Card,286.0
342,1465,ATQCUS1855,July,Apparel,Credit Card,258.0
343,1471,ATQCUS0530,July,Entertainment,Credit Card,682.0
344,1473,ATQCUS0195,October,Groceries,Credit Card,1500.0
345,1476,ATQCUS2080,August,Travel,Credit Card,3111.0
346,1484,ATQCUS2248,June,Bills,Credit Card,1370.0
347,1486,ATQCUS3568,May,Apparel,Credit Card,112.0
348,1488,ATQCUS0638,October,Food,Credit Card,932.0
349,1492,ATQCUS1694,August,Entertainment,Credit Card,802.0
350,1494,ATQCUS3202,May,Bills,Credit Card,216.0
351,1502,ATQCUS3561,May,Food,Credit Card,308.0
352,1504,ATQCUS1562,September,Food,Credit Card,588.0
353,1516,ATQCUS1986,October,Travel,Credit Card,790.0
354,1518,ATQCUS1232,June,Electronics,Credit Card,2620.0
355,1520,ATQCUS3021,July,Others,Credit Card,403.0
356,1522,ATQCUS3066,October,Bills,Credit Card,1169.0
357,1527,ATQCUS1571,May,Others,Credit Card,231.0
358,1530,ATQCUS1738,June,Electronics,Credit Card,775.0
359,1531,ATQCUS3193,October,Travel,Credit Card,382.0
360,1544,ATQCUS1696,July,Food,Credit Card,416.0
361,1561,ATQCUS0309,May,Food,Credit Card,522.0
362,1569,ATQCUS2960,June,Electronics,Credit Card,216.0
363,1571,ATQCUS3018,May,Groceries,Credit Card,425.0
364,1573,ATQCUS3963,August,Health & Wellness,Credit Card,3280.0
365,1576,ATQCUS0721,May,Entertainment,Credit Card,197.0
366,1580,ATQCUS1144,August,Electronics,Credit Card,2639.0
367,1582,ATQCUS2767,September,Bills,Credit Card,684.0
368,1583,ATQCUS1205,May,Others,Credit Card,198.0
369,1591,ATQCUS1958,May,Entertainment,Credit Card,379.0
370,1594,ATQCUS2495,September,Apparel,Credit Card,678.0
371,1599,ATQCUS0893,August,Bills,Credit Card,4779.0
372,1600,ATQCUS0636,May,Travel,Credit Card,917.0
373,1610,ATQCUS0828,September,Apparel,Credit Card,492.0
374,1611,ATQCUS1733,June,Travel,Credit Card,522.0
375,1625,ATQCUS2428,October,Others,Credit Card,143.0
376,1626,ATQCUS3838,July,Bills,Credit Card,274.0
377,1631,ATQCUS0996,September,Electronics,Credit Card,4365.0
378,1634,ATQCUS2693,June,Groceries,Credit Card,355.0
379,1637,ATQCUS2575,August,Entertainment,Credit Card,778.0
380,1641,ATQCUS3103,June,Groceries,Credit Card,285.0
381,1642,ATQCUS2980,September,Bills,Credit Card,1320.0
382,1643,ATQCUS3997,September,Travel,Credit Card,665.0
383,1658,ATQCUS2436,August,Entertainment,Credit Card,185.0
384,1662,ATQCUS0053,July,Entertainment,Credit Card,1361.0
385,1667,ATQCUS3186,July,Others,Credit Card,102.0
386,1672,ATQCUS2696,September,Entertainment,Credit Card,312.0
387,1678,ATQCUS0866,October,Apparel,Credit Card,189.0
388,1679,ATQCUS0499,June,Others,Credit Card,369.0
389,1682,ATQCUS0209,August,Entertainment,Credit Card,861.0
390,1688,ATQCUS3621,August,Apparel,Credit Card,333.0
391,1692,ATQCUS2962,October,Travel,Credit Card,1733.0
392,1694,ATQCUS2100,May,Bills,Credit Card,3099.0
393,1700,ATQCUS0672,June,Groceries,Credit Card,676.0
394,1702,ATQCUS2422,June,Food,Credit Card,499.0
395,1703,ATQCUS0886,May,Groceries,Credit Card,760.0
396,1706,ATQCUS1160,October,Entertainment,Credit Card,786.0
397,1707,ATQCUS3517,August,Electronics,Credit Card,2031.0
398,1708,ATQCUS1387,September,Health & Wellness,Credit Card,1327.0
399,1711,ATQCUS0735,September,Bills,Credit Card,2264.0
400,1714,ATQCUS0692,September,Health & Wellness,Credit Card,631.0
401,1715,ATQCUS3637,July,Food,Credit Card,613.0
402,1716,ATQCUS1317,October,Groceries,Credit Card,1224.0
403,1723,ATQCUS1667,May,Others,Credit Card,470.0
404,1726,ATQCUS2817,July,Apparel,Credit Card,788.0
405,1729,ATQCUS3974,September,Groceries,Credit Card,985.0
406,1730,ATQCUS2747,August,Health & Wellness,Credit Card,2232.0
407,1732,ATQCUS2212,June,Electronics,Credit Card,2768.0
408,1735,ATQCUS0462,August,Bills,Credit Card,4340.0
409,1736,ATQCUS1925,May,Groceries,Credit Card,390.0
410,1741,ATQCUS0706,August,Apparel,Credit Card,331.0
411,1742,ATQCUS1787,May,Electronics,Credit Card,714.0
412,1743,ATQCUS3572,August,Entertainment,Credit Card,719.0
413,1744,ATQCUS1001,June,Electronics,Credit Card,3035.0
414,1752,ATQCUS2927,May,Others,Credit Card,91.0
415,1755,ATQCUS3744,May,Entertainment,Credit Card,976.0
416,1756,ATQCUS1553,June,Groceries,Credit Card,769.0
417,1761,ATQCUS0782,May,Bills,Credit Card,2450.0
418,1763,ATQCUS2394,September,Food,Credit Card,572.0
419,1772,ATQCUS2498,September,Health & Wellness,Credit Card,2282.0
420,1773,ATQCUS1177,July,Bills,Credit Card,1922.0
421,1774,ATQCUS0688,September,Entertainment,Credit Card,821.0
422,1781,ATQCUS1530,September,Electronics,Credit Card,2758.0
423,1783,ATQCUS2591,July,Groceries,Credit Card,595.0
424,1785,ATQCUS0286,May,Bills,Credit Card,1553.0
425,1790,ATQCUS3737,August,Health & Wellness,Credit Card,2036.0
426,1793,ATQCUS1850,September,Entertainment,Credit Card,821.0
427,1794,ATQCUS2355,May,Bills,Credit Card,1018.0
428,1802,ATQCUS1548,October,Food,Credit Card,447.0
429,1803,ATQCUS2860,May,Others,Credit Card,98.0
430,1807,ATQCUS1014,October,Entertainment,Credit Card,633.0
431,1809,ATQCUS3053,August,Electronics,Credit Card,671.0
432,1812,ATQCUS0995,August,Apparel,Credit Card,480.0
433,1819,ATQCUS3303,October,Apparel,Credit Card,781.0
434,1822,ATQCUS0834,August,Entertainment,Credit Card,648.0
435,1828,ATQCUS1622,August,Health & Wellness,Credit Card,632.0
436,1841,ATQCUS2726,May,Electronics,Credit Card,1345.0
437,1842,ATQCUS3658,June,Travel,Credit Card,1092.0
438,1843,ATQCUS3770,September,Health & Wellness,Credit Card,699.0
439,1846,ATQCUS2607,July,Others,Credit Card,427.0
440,1848,ATQCUS0809,September,Bills,Credit Card,2212.0
441,1851,ATQCUS3723,August,Health & Wellness,Credit Card,1494.0
442,1853,ATQCUS0579,October,Health & Wellness,Credit Card,622.0
443,1854,ATQCUS2839,August,Travel,Credit Card,429.0
444,1860,ATQCUS3774,May,Electronics,Credit Card,506.0
445,1861,ATQCUS1036,May,Groceries,Credit Card,836.0
446,1863,ATQCUS0440,September,Food,Credit Card,534.0
447,1868,ATQCUS3042,August,Groceries,Credit Card,356.0
448,1879,ATQCUS3407,July,Entertainment,Credit Card,1853.0
449,1887,ATQCUS2723,October,Food,Credit Card,788.0
450,1888,ATQCUS0946,September,Apparel,Credit Card,1121.0
451,1893,ATQCUS1093,October,Others,Credit Card,507.0
452,1896,ATQCUS1411,July,Electronics,Credit Card,955.0
453,1897,ATQCUS3331,October,Others,Credit Card,176.0
454,1898,ATQCUS1774,June,Food,Credit Card,394.0
